groupId,deviceIndex,deviceSN,deviceTimestampUs,fileName
435,1,CV3T561000H0,1787132606870977,Device1_frame_000145_1787132606870977.png
436,0,CV3T561000B5,1787132606870896,Device0_frame_000145_1787132606870896.png
437,2,CPBG1630011D,1787132606873616,Device2_frame_000145_1787132606873616.png
438,1,CV3T561000H0,1787132606904296,Device1_frame_000146_1787132606904296.png
439,0,CV3T561000B5,1787132606904216,Device0_frame_000146_1787132606904216.png
440,2,CPBG1630011D,1787132606906936,Device2_frame_000146_1787132606906936.png
441,1,CV3T561000H0,1787132606937631,Device1_frame_000147_1787132606937631.png
442,2,CPBG1630011D,1787132606940271,Device2_frame_000147_1787132606940271.png
443,0,CV3T561000B5,1787132606937550,Device0_frame_000147_1787132606937550.png
444,0,CV3T561000B5,1787132606970885,Device0_frame_000148_1787132606970885.png
445,2,CPBG1630011D,1787132606973606,Device2_frame_000148_1787132606973606.png
446,1,CV3T561000H0,1787132606970966,Device1_frame_000148_1787132606970966.png
447,1,CV3T561000H0,1787132607004295,Device1_frame_000149_1787132607004295.png
448,0,CV3T561000B5,1787132607004213,Device0_frame_000149_1787132607004213.png
449,2,CPBG1630011D,1787132607006935,Device2_frame_000149_1787132607006935.png
