sn,sensor,frameNumSource,missingFrameNum
CPBG1630011D,depth,hw,32451
CPBG1630011D,depth,hw,33111
CPBG1630011D,depth,hw,33224
CPBG1630011D,depth,hw,33327
CPBG1630011D,depth,hw,33479
CPBG1630011D,depth,hw,33529
CPBG1630011D,depth,hw,33563
CPBG1630011D,depth,hw,33585
CPBG1630011D,depth,hw,33589
CPBG1630011D,depth,hw,33635
CPBG1630011D,depth,hw,33951
CPBG1630011D,depth,hw,33986
CPBG1630011D,depth,hw,34044
CPBG1630011D,depth,hw,34070
CPBG1630011D,depth,hw,34383
CPBG1630011D,depth,hw,34385
CPBG1630011D,depth,hw,34845
CPBG1630011D,depth,hw,35181
CPBG1630011D,depth,hw,35732
CPBG1630011D,depth,hw,36188
CPBG1630011D,depth,hw,36192
CPBG1630011D,depth,hw,36280
CPBG1630011D,depth,hw,36357
CPBG1630011D,depth,hw,36526
CPBG1630011D,depth,hw,37039
CPBG1630011D,depth,hw,37152
CPBG1630011D,depth,hw,37226
CPBG1630011D,depth,hw,37279
CPBG1630011D,depth,hw,37358
CPBG1630011D,depth,hw,37451
CPBG1630011D,depth,hw,37459
CPBG1630011D,depth,hw,37462
CPBG1630011D,depth,hw,37520
CPBG1630011D,depth,hw,37755
CPBG1630011D,depth,hw,37893
CPBG1630011D,depth,hw,38009
CPBG1630011D,depth,hw,38533
CPBG1630011D,depth,hw,38547
CPBG1630011D,depth,hw,38583
CPBG1630011D,depth,hw,38684
CPBG1630011D,depth,hw,38718
CPBG1630011D,depth,hw,38788
CPBG1630011D,depth,hw,38817
CPBG1630011D,depth,hw,38965
CPBG1630011D,depth,hw,39072
CPBG1630011D,depth,hw,39492
CPBG1630011D,depth,hw,39495
CPBG1630011D,depth,hw,39535
CPBG1630011D,depth,hw,39540
CPBG1630011D,depth,hw,39555
CPBG1630011D,depth,hw,39670
CPBG1630011D,depth,hw,39807
CPBG1630011D,depth,hw,40233
CPBG1630011D,depth,hw,40254
CPBG1630011D,depth,hw,40263
CPBG1630011D,depth,hw,40353
CPBG1630011D,depth,hw,40693
CPBG1630011D,depth,hw,40826
CPBG1630011D,depth,hw,40838
CPBG1630011D,depth,hw,40933
CPBG1630011D,depth,hw,41272
CPBG1630011D,depth,hw,41276
CPBG1630011D,depth,hw,41374
CPBG1630011D,depth,hw,41579
CPBG1630011D,depth,hw,41663
CPBG1630011D,depth,hw,42226
CPBG1630011D,depth,hw,42229
CPBG1630011D,depth,hw,42257
CPBG1630011D,depth,hw,42286
CPBG1630011D,depth,hw,42547
CPBG1630011D,depth,hw,42696
CPBG1630011D,depth,hw,42921
CPBG1630011D,depth,hw,42995
CPBG1630011D,depth,hw,43028
CPBG1630011D,depth,hw,43166
CPBG1630011D,depth,hw,43229
CPBG1630011D,depth,hw,43288
CPBG1630011D,depth,hw,43414
CPBG1630011D,depth,hw,44180
CPBG1630011D,depth,hw,44394
CPBG1630011D,depth,hw,44840
CPBG1630011D,depth,hw,44852
CPBG1630011D,depth,hw,44863
CPBG1630011D,depth,hw,44888
CPBG1630011D,depth,hw,44996
CPBG1630011D,depth,hw,45099
CPBG1630011D,depth,hw,45233
CPBG1630011D,depth,hw,45554
CPBG1630011D,depth,hw,45732
CPBG1630011D,depth,hw,46073
CPBG1630011D,depth,hw,46260
CPBG1630011D,depth,hw,46406
CPBG1630011D,depth,hw,46512
CPBG1630011D,depth,hw,46526
CPBG1630011D,depth,hw,46532
CPBG1630011D,depth,hw,46761
CPBG1630011D,depth,hw,46822
CPBG1630011D,depth,hw,47321
CPBG1630011D,depth,hw,47332
CPBG1630011D,depth,hw,47519
CPBG1630011D,depth,hw,47657
CPBG1630011D,depth,hw,48053
CPBG1630011D,depth,hw,48309
CPBG1630011D,depth,hw,48517
CPBG1630011D,depth,hw,49319
CPBG1630011D,depth,hw,49536
CPBG1630011D,depth,hw,49882
CPBG1630011D,depth,hw,50010
CPBG1630011D,depth,hw,50081
CPBG1630011D,depth,hw,50083
CPBG1630011D,depth,hw,50088
CPBG1630011D,depth,hw,50334
CPBG1630011D,depth,hw,50371
