deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,DEPTH,1787124605124533,1787124605127405,1787124605148420,80,,1787124605127282,1787124605127068,-340,-220
0,DEPTH,1787124605157853,1787124605160726,1787124605181690,81,,1787124605160647,1787124605160383,-340,-260
0,DEPTH,1787124605191191,1787124605194312,1787124605215212,82,,1787124605193985,1787124605193717,-600,-270
0,DEPTH,1787124605224529,1787124605227652,1787124605248556,83,,1787124605227322,1787124605227051,-600,-270
0,DEPTH,1787124605257862,1787124605260987,1787124605281749,84,,1787124605260655,1787124605260380,-600,-270
0,DEPTH,1787124605291195,1787124605294322,1787124605314985,85,,1787124605293988,1787124605293709,-620,-280
0,DEPTH,1787124605324529,1787124605327658,1787124605348322,86,,1787124605327321,1787124605327039,-620,-290
0,DEPTH,1787124605357863,1787124605360994,1787124605381846,87,,1787124605360656,1787124605360369,-630,-290
0,DEPTH,1787124605391204,1787124605394338,1787124605415181,88,,1787124605393996,1787124605393706,-630,-290
0,DEPTH,1787124605424533,1787124605427669,1787124605448410,89,,1787124605427325,1787124605427031,-630,-290
0,DEPTH,1787124605457864,1787124605461002,1787124605481895,90,,1787124605460655,1787124605460357,-650,-300
0,DEPTH,1787124605491195,1787124605494335,1787124605515239,91,,1787124605493987,1787124605493685,-650,-300
0,DEPTH,1787124605524534,1787124605527676,1787124605548449,92,,1787124605527324,1787124605527019,-660,-310
0,DEPTH,1787124605557864,1787124605561008,1787124605581557,93,,1787124605560654,1787124605560345,-660,-310
0,DEPTH,1787124605591196,1787124605594342,1787124605614944,94,,1787124605593987,1787124605593674,-670,-310
0,DEPTH,1787124605624525,1787124605627673,1787124605648101,95,,1787124605627315,1787124605626999,-680,-320
0,DEPTH,1787124605657865,1787124605661015,1787124605681480,96,,1787124605660655,1787124605660335,-680,-320
0,DEPTH,1787124605691189,1787124605694341,1787124605714865,97,,1787124605693979,1787124605693655,-690,-320
0,DEPTH,1787124605724527,1787124605727682,1787124605748329,98,,1787124605727316,1787124605726988,-700,-330
0,DEPTH,1787124605757862,1787124605761019,1787124605781713,99,,1787124605760652,1787124605760320,-690,-330
0,DEPTH,1787124605791195,1787124605794354,1787124605814634,100,,1787124605793985,1787124605793649,-710,-340
0,DEPTH,1787124605824531,1787124605827692,1787124605848075,101,,1787124605827320,1787124605826980,-710,-340
0,DEPTH,1787124605857863,1787124605861026,1787124605881418,102,,1787124605860651,1787124605860308,-720,-350
0,DEPTH,1787124605891196,1787124605894361,1787124605914741,103,,1787124605893984,1787124605893638,-730,-350
0,DEPTH,1787124605924531,1787124605927698,1787124605948038,104,,1787124605927319,1787124605926968,-730,-350
