deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs
2,DEPTH,1787035744995025,1787035744995329,1787035745015336
2,DEPTH,1787035745095027,1787035745095315,1787035745115368
2,DEPTH,1787035745195032,1787035745195304,1787035745215662
2,DEPTH,1787035745295033,1787035745295289,1787035745315469
2,DEPTH,1787035745395035,1787035745395973,1787035745415619
2,DEPTH,1787035745495033,1787035745495971,1787035745515437
2,DEPTH,1787035745595033,1787035745595970,1787035745615543
2,DEPTH,1787035745695038,1787035745695974,1787035745715585
2,DEPTH,1787035745795038,1787035745795973,1787035745815515
2,DEPTH,1787035745895042,1787035745895977,1787035745915749
2,DEPTH,1787035745995045,1787035745995979,1787035746015080
2,DEPTH,1787035746095044,1787035746095977,1787035746115480
2,DEPTH,1787035746195044,1787035746195977,1787035746215709
2,DEPTH,1787035746295046,1787035746295978,1787035746315788
2,DEPTH,1787035746395050,1787035746396201,1787035746415791
2,DEPTH,1787035746495053,1787035746496208,1787035746515607
2,DEPTH,1787035746595050,1787035746596208,1787035746615444
2,DEPTH,1787035746695050,1787035746696211,1787035746715703
2,DEPTH,1787035746795062,1787035746796227,1787035746815702
2,DEPTH,1787035746895054,1787035746896222,1787035746915521
2,DEPTH,1787035746995059,1787035746996230,1787035747015493
2,DEPTH,1787035747095059,1787035747096234,1787035747115294
2,DEPTH,1787035747195074,1787035747196252,1787035747215722
2,COLOR,1787035744795028,1787035744795364,1787035744812295
2,COLOR,1787035744895028,1787035744895348,1787035744912097
2,COLOR,1787035744995031,1787035744995335,1787035745012194
2,COLOR,1787035745095033,1787035745095321,1787035745112332
2,COLOR,1787035745195037,1787035745195309,1787035745212575
2,COLOR,1787035745295039,1787035745295295,1787035745312150
2,COLOR,1787035745395040,1787035745395978,1787035745411968
2,COLOR,1787035745495039,1787035745495976,1787035745512510
2,COLOR,1787035745595039,1787035745595976,1787035745612507
2,COLOR,1787035745695044,1787035745695980,1787035745712290
2,COLOR,1787035745795044,1787035745795979,1787035745812578
2,COLOR,1787035745895048,1787035745895982,1787035745912005
2,COLOR,1787035745995051,1787035745995985,1787035746011910
2,COLOR,1787035746095050,1787035746095983,1787035746111999
2,COLOR,1787035746195050,1787035746195983,1787035746212303
2,COLOR,1787035746295052,1787035746295984,1787035746311929
2,COLOR,1787035746395055,1787035746395986,1787035746412052
2,COLOR,1787035746495059,1787035746496213,1787035746512319
2,COLOR,1787035746595056,1787035746596214,1787035746612278
2,COLOR,1787035746695056,1787035746696217,1787035746712489
2,COLOR,1787035746795068,1787035746796233,1787035746812500
2,COLOR,1787035746895059,1787035746896227,1787035746912136
2,COLOR,1787035746995065,1787035746996237,1787035747012009
2,COLOR,1787035747095065,1787035747096240,1787035747112177
2,COLOR,1787035747195080,1787035747196258,1787035747212041
