comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,5,0,1784283615765183
cross_stream,0,0,depth+color,5,0,1784283615798551
cross_stream,0,0,depth+color,5,0,1784283615831868
cross_stream,0,0,depth+color,5,0,1784283615865375
cross_stream,0,0,depth+color,4,0,1784283615898693
cross_stream,0,0,depth+color,5,0,1784283615932092
cross_stream,0,0,depth+color,4,0,1784283615965324
cross_stream,0,0,depth+color,4,0,1784283615998707
cross_stream,0,0,depth+color,5,0,1784283616031814
cross_stream,0,0,depth+color,4,0,1784283616065355
cross_stream,0,0,depth+color,4,0,1784283616098933
cross_stream,0,0,depth+color,4,0,1784283616131868
cross_stream,0,0,depth+color,4,0,1784283616165604
cross_stream,0,0,depth+color,4,0,1784283616198491
cross_stream,0,0,depth+color,5,0,1784283616231693
cross_stream,0,0,depth+color,4,0,1784283616265218
cross_stream,0,0,depth+color,4,0,1784283616298499
cross_stream,0,0,depth+color,4,0,1784283616331838
cross_stream,0,0,depth+color,5,0,1784283616365161
cross_stream,0,0,depth+color,4,0,1784283616398536
cross_stream,0,0,depth+color,4,0,1784283616432002
cross_stream,0,0,depth+color,5,0,1784283616465528
cross_stream,0,0,depth+color,5,0,1784283616498519
cross_stream,0,0,depth+color,5,0,1784283616531872
cross_stream,0,0,depth+color,5,0,1784283616565209
cross_stream,0,0,depth+color,5,0,1784283616598672
cross_stream,0,0,depth+color,4,0,1784283616632169
cross_stream,0,0,depth+color,4,0,1784283616665211
cross_stream,0,0,depth+color,5,0,1784283616698544
cross_stream,0,0,depth+color,4,0,1784283616733614
cross_stream,0,0,depth+color,4,0,1784283616765201
cross_stream,0,0,depth+color,5,0,1784283616798558
cross_stream,0,0,depth+color,5,0,1784283616831838
cross_stream,0,0,depth+color,5,0,1784283616865228
cross_stream,0,0,depth+color,5,0,1784283616898514
cross_stream,0,0,depth+color,5,0,1784283616931858
cross_stream,0,0,depth+color,4,0,1784283616965218
cross_stream,0,0,depth+color,4,0,1784283616998873
cross_stream,0,0,depth+color,5,0,1784283617032049
cross_stream,0,0,depth+color,4,0,1784283617065377
cross_stream,0,0,depth+color,5,0,1784283617098819
cross_stream,0,0,depth+color,5,0,1784283617132112
cross_stream,0,0,depth+color,4,0,1784283617165292
cross_stream,0,0,depth+color,4,0,1784283617198608
cross_stream,0,0,depth+color,5,0,1784283617231736
